method,seed,split_key,cell_type,drug,dose,pert_category,pearson_delta_de
CRISP,0,zero_split_drugs3,K562,Tanespimycin,0.10000000149011612,K562_Tanespimycin_0.1,0.9256634839813153
CRISP,0,zero_split_drugs,MCF7,Alvespimycin,0.10000000149011612,MCF7_Alvespimycin_0.1,0.4613622183731428
CRISP,0,zero_split_drugs,MCF7,Belinostat,0.10000000149011612,MCF7_Belinostat_0.1,0.2795928632795234
CRISP,0,zero_split_drugs,MCF7,Dacinostat,0.10000000149011612,MCF7_Dacinostat_0.1,0.6309071444566372
CRISP,0,zero_split_drugs,MCF7,Flavopiridol,0.10000000149011612,MCF7_Flavopiridol_0.1,0.3965935677182303
CRISP,0,zero_split_drugs,MCF7,Givinostat,0.10000000149011612,MCF7_Givinostat_0.1,0.2445284869027995
CRISP,0,zero_split_drugs,MCF7,Hesperadin,0.10000000149011612,MCF7_Hesperadin_0.1,0.5426851872491943
CRISP,0,zero_split_drugs,MCF7,Quisinostat,0.10000000149011612,MCF7_Quisinostat_0.1,0.6854601299190114
CRISP,0,zero_split_drugs,MCF7,TAK-901,0.10000000149011612,MCF7_TAK-901_0.1,0.32571595039002216
CRISP,0,zero_split_drugs,MCF7,Tanespimycin,0.10000000149011612,MCF7_Tanespimycin_0.1,0.39466646672482947
CRISP,0,zero_split_drugs2,A549,Alvespimycin,1,A549_Alvespimycin_1.0,0.0666388594239078
CRISP,0,zero_split_drugs2,A549,Belinostat,1,A549_Belinostat_1.0,0.9572268152207944
CRISP,0,zero_split_drugs2,A549,Dacinostat,1,A549_Dacinostat_1.0,0.9144849002346646
CRISP,0,zero_split_drugs2,A549,Flavopiridol,1,A549_Flavopiridol_1.0,0.15303015801221423
CRISP,0,zero_split_drugs2,A549,Givinostat,1,A549_Givinostat_1.0,0.8781613818237427
CRISP,0,zero_split_drugs2,A549,Hesperadin,1,A549_Hesperadin_1.0,0.8810762376496656
CRISP,0,zero_split_drugs2,A549,Quisinostat,1,A549_Quisinostat_1.0,0.9593600706717522
CRISP,0,zero_split_drugs2,A549,TAK-901,1,A549_TAK-901_1.0,0.6270214033714695
CRISP,0,zero_split_drugs2,A549,Tanespimycin,1,A549_Tanespimycin_1.0,-0.008696507
CRISP,0,zero_split_drugs3,K562,Alvespimycin,1,K562_Alvespimycin_1.0,0.9500907318884598
CRISP,0,zero_split_drugs3,K562,Belinostat,1,K562_Belinostat_1.0,0.9918781156437301
CRISP,0,zero_split_drugs3,K562,Dacinostat,1,K562_Dacinostat_1.0,0.9416030130467004
CRISP,0,zero_split_drugs3,K562,Flavopiridol,1,K562_Flavopiridol_1.0,0.7615287261153466
CRISP,0,zero_split_drugs3,K562,Givinostat,1,K562_Givinostat_1.0,0.9983347761690016
CRISP,0,zero_split_drugs3,K562,Hesperadin,1,K562_Hesperadin_1.0,0.6077007827049724
CRISP,0,zero_split_drugs3,K562,Quisinostat,1,K562_Quisinostat_1.0,0.9702105587287861
CRISP,0,zero_split_drugs3,K562,TAK-901,1,K562_TAK-901_1.0,0.9964191157772584
CRISP,0,zero_split_drugs3,K562,Tanespimycin,1,K562_Tanespimycin_1.0,0.9159134843643161
CRISP,0,zero_split_drugs,MCF7,Alvespimycin,1,MCF7_Alvespimycin_1.0,0.18273727531797798
CRISP,0,zero_split_drugs,MCF7,Belinostat,1,MCF7_Belinostat_1.0,0.6226740603918871
CRISP,0,zero_split_drugs,MCF7,Dacinostat,1,MCF7_Dacinostat_1.0,0.7552487466549698
CRISP,0,zero_split_drugs,MCF7,Flavopiridol,1,MCF7_Flavopiridol_1.0,0.5846874023807693
CRISP,0,zero_split_drugs,MCF7,Givinostat,1,MCF7_Givinostat_1.0,0.6414044038914426
CRISP,0,zero_split_drugs,MCF7,Hesperadin,1,MCF7_Hesperadin_1.0,0.817084675902416
CRISP,0,zero_split_drugs,MCF7,Quisinostat,1,MCF7_Quisinostat_1.0,0.7279122834612446
CRISP,0,zero_split_drugs,MCF7,TAK-901,1,MCF7_TAK-901_1.0,0.8619711432174095
CRISP,0,zero_split_drugs,MCF7,Tanespimycin,1,MCF7_Tanespimycin_1.0,0.5007473681342071
