model,split,row_type,group,n_groups,sinkhorn_de,centered_sinkhorn_de,variance_log_mae_de
DiffCRISP,split3,group,NK cells_LY2090314,1,23.589170455932617,17.420413970947266,0.2570316791534424
DiffCRISP,split3,group,NK cells_Lamivudine,1,1.2314056158065796,1.1630257368087769,0.04261735454201698
DiffCRISP,split3,group,NK cells_Lapatinib,1,6.3616437911987305,4.603734970092773,0.017367590218782425
DiffCRISP,split3,group,NK cells_Linagliptin,1,8.82370376586914,8.628517150878906,0.1150173470377922
DiffCRISP,split3,group,NK cells_MGCD265,1,1.461843490600586,1.4374525547027588,0.031024372205138206
DiffCRISP,split3,group,NK cells_MK5108,1,19.534412384033203,18.44144058227539,0.27615755796432495
DiffCRISP,split3,group,NK cells_Masitinib,1,29.554298400878906,27.96022605895996,0.36570218205451965
DiffCRISP,split3,group,NK cells_Methotrexate,1,8.655205726623535,7.743828296661377,0.09606929868459702
DiffCRISP,split3,group,NK cells_Midostaurin,1,9.890571594238281,8.810503005981445,0.19967330992221832
DiffCRISP,split3,group,NK cells_MometasoneFuroate,1,32.787139892578125,27.37594985961914,0.37788626551628113
DiffCRISP,split3,group,NK cells_MubritinibTAK165,1,4.085403919219971,3.397953987121582,0.06470316648483276
DiffCRISP,split3,group,NK cells_Navitoclax,1,1.0482854843139648,1.0350298881530762,0.02552020736038685
DiffCRISP,split3,group,NK cells_Nefazodone,1,0.027419254183769226,0.02298591285943985,0.0010199471144005656
DiffCRISP,split3,group,NK cells_Nilotinib,1,23.281005859375,20.877399444580078,0.35211825370788574
DiffCRISP,split3,group,NK cells_ODemethylatedAdapalene,1,0.014563371427357197,0.006034476682543755,0.0003450680524110794
DiffCRISP,split3,group,NK cells_OSI930,1,1.7092127799987793,1.4989973306655884,0.02206256613135338
DiffCRISP,split3,group,NK cells_Oxybenzone,1,14.082865715026855,13.727954864501953,0.17122407257556915
DiffCRISP,split3,group,NK cells_PD0325901,1,7.7668585777282715,7.374244689941406,0.12422765791416168
DiffCRISP,split3,group,NK cells_PF03814735,1,26.089500427246094,23.259784698486328,0.43293091654777527
DiffCRISP,split3,group,NK cells_PF04691502,1,1.5681829452514648,1.3794938325881958,0.045952219516038895
DiffCRISP,split3,group,NK cells_PRT062607,1,24.520404815673828,20.97397232055664,0.4095838665962219
DiffCRISP,split3,group,NK cells_Palbociclib,1,4.823956489562988,4.416650772094727,0.11846041679382324
DiffCRISP,split3,group,NK cells_Penfluridol,1,0.0020291581749916077,0.0008320652996189892,8.703306230017915e-05
DiffCRISP,split3,group,NK cells_Perhexiline,1,33.28502655029297,28.62177276611328,0.45972874760627747
DiffCRISP,split3,group,NK cells_Phenylbutazone,1,4.105119228363037,3.972560405731201,0.08921748399734497
DiffCRISP,split3,group,NK cells_PitavastatinCalcium,1,160.8857421875,129.07313537597656,1.1667189598083496
DiffCRISP,split3,group,NK cells_Pomalidomide,1,80.67829132080078,67.57492065429688,0.5630090832710266
DiffCRISP,split3,group,NK cells_PorcnInhibitorIII,1,0.15829679369926453,0.1304028034210205,0.005400389898568392
DiffCRISP,split3,group,NK cells_Prednisolone,1,60.284629821777344,48.238033294677734,0.5402706265449524
DiffCRISP,split3,group,NK cells_ProscillaridinAProscillaridinA,1,86.37466430664062,71.42485046386719,0.7690460681915283
DiffCRISP,split3,group,NK cells_Protriptyline,1,0.08767648041248322,0.08262118697166443,0.003465937916189432
DiffCRISP,split3,group,NK cells_Quizartinib,1,0.011605758219957352,0.0043175071477890015,0.0002782627707347274
DiffCRISP,split3,group,NK cells_R428,1,5.597496032714844,3.417423725128174,0.06068269908428192
