setting,direction_acc,drug,dose,cell_type,pbmc_cell_type,batch_original,n_cells,n_de_genes,method
Seen drugs,0.6590909090909091,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,44,DiffCRISP
Seen drugs,0.28,Dabrafenib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,50,DiffCRISP
Seen drugs,0.6341463414634146,Dactolisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,41,DiffCRISP
Seen drugs,0.5909090909090909,Foretinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,44,DiffCRISP
Seen drugs,0.4444444444444444,Idelalisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,36,DiffCRISP
Seen drugs,0.4838709677419355,LDN193189,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,31,DiffCRISP
Seen drugs,0.5714285714285714,Linagliptin,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,35,DiffCRISP
Seen drugs,0.5172413793103449,ODemethylatedAdapalene,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,29,DiffCRISP
Seen drugs,0.425,Palbociclib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,40,DiffCRISP
Seen drugs,0.59375,Penfluridol,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,32,DiffCRISP
Seen drugs,0.5853658536585366,PorcnInhibitorIII,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) A,166,41,DiffCRISP
Seen drugs,0.7755102040816326,Belinostat,0.007092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,49,DiffCRISP
Seen drugs,0.5384615384615384,CHIR99021,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,39,DiffCRISP
Seen drugs,0.7727272727272727,Crizotinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,44,DiffCRISP
Seen drugs,0.22,Dabrafenib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,50,DiffCRISP
Seen drugs,0.6341463414634146,Dactolisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,41,DiffCRISP
Seen drugs,0.6136363636363636,Foretinib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,44,DiffCRISP
Seen drugs,0.5833333333333334,Idelalisib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,36,DiffCRISP
Seen drugs,0.6451612903225806,LDN193189,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,31,DiffCRISP
Seen drugs,0.6,Linagliptin,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,35,DiffCRISP
Seen drugs,0.7586206896551724,ODemethylatedAdapalene,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,29,DiffCRISP
Seen drugs,0.65,Palbociclib,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,40,DiffCRISP
Seen drugs,0.8125,Penfluridol,0.07092198581560284,NK cells,Natural killer cell,10x Chromium (v2) B,263,32,DiffCRISP
