drug,score,reference_positive,n_truth_hits,n_pred_hits,truth_pathways,pred_pathways
Rigosertib,4.085642611762055,True,1,2,WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Toremifene,4.082912648262285,True,5,2,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;WP_MAPK_SIGNALING;REACTOME_CELL_CYCLE;REACTOME_ESR_MEDIATED_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
PFI-1,4.078541109334739,True,5,2,REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;WP_BREAST_CANCER_PATHWAY,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
KW-2449,4.078471763161522,True,1,2,REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Flavopiridol,4.0779190068681554,True,4,2,REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_CELL_CYCLE;REACTOME_CELL_CYCLE_CHECKPOINTS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
ZM,4.077498896671665,True,1,2,REACTOME_RHO_GTPASE_EFFECTORS,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
PJ34,4.074646830446893,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Fasudil,4.074202518669456,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Patupilone,4.069969630888994,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Entacapone,4.069274878923527,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
SNS-314,4.0677091776703715,True,1,2,WP_MAPK_SIGNALING,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
GSK,4.062696103208697,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Sorafenib,4.058603745097782,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Glesatinib?(MGCD265),4.056384470050269,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
Thalidomide,4.056280485030163,False,0,2,,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
JNJ-7706621,4.055729557273114,True,3,2,REACTOME_ESR_MEDIATED_SIGNALING;REACTOME_RHO_GTPASE_EFFECTORS;REACTOME_CELL_CYCLE,REACTOME_CELL_CYCLE_CHECKPOINTS;REACTOME_ESR_MEDIATED_SIGNALING
