group,n_truth,crisp_between_seed,diffcrisp_between_seed,real_sampling,crisp_ratio,diffcrisp_ratio
K562_MC1568_1.0,219,2.141073869981685e-05,0.0017469887287006713,0.030617851986446315,0.0006992893789314416,0.057057847476498856
K562_MK-0752_1.0,207,9.540953311039225e-06,0.018518754260407555,0.055226659402251244,0.00017275992092055274,0.3353227311020855
K562_MK-5108_1.0,64,0.001220458574567197,0.018637714928223026,0.07639033512936698,0.01597660977007564,0.24398001261102034
K562_MLN8054_1.0,178,1.9618734521979302e-05,0.004246703506861296,0.04775600687911113,0.00041081187067507313,0.08892501246202054
K562_Meprednisone_1.0,277,3.2207971162279134e-05,0.014815185343225797,0.08404228260947598,0.0003832353211054694,0.1762825197415015
K562_Mercaptopurine_1.0,153,0.00022743974485719162,0.12203056746058993,0.7152367234230042,0.00031799226383217964,0.1706156346063607
K562_Mesna_1.0,263,6.691690818646141e-07,0.00019330962108057292,0.004659636702250552,0.0001436097113625646,0.04148598558922127
K562_Mocetinostat_1.0,66,0.00045625697012938973,0.03994240346882078,0.11598507463932037,0.003933755886679518,0.3443753740990379
K562_Momelotinib_1.0,138,0.0004162647724216287,0.008739908794975944,0.11625066681040658,0.0035807516966807223,0.07518157989777277
K562_Motesanib_1.0,209,0.0007309307017648179,0.0018555858339823316,0.009231149111012065,0.07918090077137555,0.20101352623247712
K562_NVP-BSK805_1.0,127,0.0005877687657226084,0.07582569147149722,0.4433210909366608,0.001325830820457368,0.1710401174717193
K562_Nilotinib_1.0,126,0.0011415255165451931,0.03299015760421753,0.5892836981349521,0.001937140837525378,0.055983489291540595
K562_Nintedanib_1.0,60,0.00038498784399255075,0.009880095544374651,0.02666228979619013,0.01443941412892313,0.3705644046291348
K562_Obatoclax_1.0,77,0.0003451724649898501,0.010476611399402222,0.0841610656566546,0.004101331919893024,0.12448287480273651
K562_Ofloxacin_1.0,224,2.981821249174269e-08,0.0020657178549703934,0.02306909942033666,1.292560751871238e-06,0.08954479831793309
