pos_ratio,model,cov_drug,cell_type
0.98,DIFFCRISP,T cells CD4+_HMN214,T cells CD4+
0.9333333333333332,DIFFCRISP,T cells CD4+_HYDROXYUREA,T cells CD4+
0.9333333333333332,DIFFCRISP,T cells CD4+_IBET151,T cells CD4+
0.96,DIFFCRISP,T cells CD4+_IKKInhibitorVII,T cells CD4+
0.9,DIFFCRISP,T cells CD4+_IMD0354,T cells CD4+
0.9733333333333333,DIFFCRISP,T cells CD4+_IN1451,T cells CD4+
0.9466666666666667,DIFFCRISP,T cells CD4+_Idelalisib,T cells CD4+
0.7000000000000001,DIFFCRISP,T cells CD4+_Imatinib,T cells CD4+
0.6733333333333333,DIFFCRISP,T cells CD4+_Isoniazid,T cells CD4+
0.4666666666666666,DIFFCRISP,T cells CD4+_Ixabepilone,T cells CD4+
0.54,DIFFCRISP,T cells CD4+_K02288,T cells CD4+
0.9866666666666667,DIFFCRISP,T cells CD4+_Ketoconazole,T cells CD4+
0.9466666666666667,DIFFCRISP,T cells CD4+_LDN193189,T cells CD4+
0.9666666666666667,DIFFCRISP,T cells CD4+_LY2090314,T cells CD4+
0.6466666666666666,DIFFCRISP,T cells CD4+_Lamivudine,T cells CD4+
0.7933333333333333,DIFFCRISP,T cells CD4+_Lapatinib,T cells CD4+
0.7933333333333333,DIFFCRISP,T cells CD4+_Linagliptin,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_MGCD265,T cells CD4+
0.94,DIFFCRISP,T cells CD4+_MK5108,T cells CD4+
1.0,DIFFCRISP,T cells CD4+_MLN2238,T cells CD4+
0.7733333333333333,DIFFCRISP,T cells CD4+_Masitinib,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_Methotrexate,T cells CD4+
0.84,DIFFCRISP,T cells CD4+_Midostaurin,T cells CD4+
0.9933333333333333,DIFFCRISP,T cells CD4+_MometasoneFuroate,T cells CD4+
0.7733333333333334,DIFFCRISP,T cells CD4+_MubritinibTAK165,T cells CD4+
0.82,DIFFCRISP,T cells CD4+_Navitoclax,T cells CD4+
0.9866666666666667,DIFFCRISP,T cells CD4+_Nefazodone,T cells CD4+
0.9866666666666667,DIFFCRISP,T cells CD4+_Nilotinib,T cells CD4+
0.9,DIFFCRISP,T cells CD4+_ODemethylatedAdapalene,T cells CD4+
0.6266666666666667,DIFFCRISP,T cells CD4+_OSI930,T cells CD4+
1.0,DIFFCRISP,T cells CD4+_OprozomibONX0912,T cells CD4+
0.8733333333333334,DIFFCRISP,T cells CD4+_Oxybenzone,T cells CD4+
0.9533333333333333,DIFFCRISP,T cells CD4+_PD0325901,T cells CD4+
0.98,DIFFCRISP,T cells CD4+_PF03814735,T cells CD4+
0.94,DIFFCRISP,T cells CD4+_PF04691502,T cells CD4+
0.98,DIFFCRISP,T cells CD4+_PRT062607,T cells CD4+
0.7333333333333334,DIFFCRISP,T cells CD4+_Palbociclib,T cells CD4+
0.94,DIFFCRISP,T cells CD4+_Penfluridol,T cells CD4+
0.9733333333333333,DIFFCRISP,T cells CD4+_Perhexiline,T cells CD4+
0.6466666666666666,DIFFCRISP,T cells CD4+_Phenylbutazone,T cells CD4+
